price,type,title,address,gov,bathrooms,total_rooms,living_area,total_area,rooms
1 300 DT,location,Appartement meublé aux jardins de  l'aouina ref MAL0232,L'aouina, Tunis,,,,,
750 DT,location,à louer apt 3 pièces haut standing,Aïn Zaghouan, Tunis,1,3,90,,3
850 DT,location,Appartement À L'Aouina s+2 ref : MAL0233,L'aouina, Tunis,,,,,
230 000 DT,vente,APPARTEMENT S+2 à ain zaghouan,Aïn Zaghouan, Tunis,,,,,
1 150 000 DT,vente,Immeuble Invest,La Marsa, Tunis,,,,,
1 200 DT / Mois,location,Un rez de chaussée à sidi bousaid,Carthage, Tunis,1,,,90,3
1 200 DT / Mois,location,Appartement El Marah,La Marsa, Tunis,1,,,90,3
2 100 DT,location,Appartement aux jardins de Carthage ref MAL0229,Jardin De Carthage, Tunis,,,,,
1 500 DT,vente,Penthous Meriah,La Marsa, Tunis,1,,100,170,3
1 600 DT,location,Appartement Meublé s+1 à sidi Abd el Aziz ref: MAL0226,La Marsa, Tunis,,,,,
,location,Appartement Meublé s+1 à sidi daoud ref: MAL0181,La Marsa, Tunis,,,,,
1 200 DT,location,Appart Sidi Bousaid,Carthage, Tunis,,,,80,
2 300 DT,location,Un restaurant équipé au kram   lcz263,Le Kram, Tunis,,,,,
1 500 DT,location,Duplex à carthage amilcar alz3517,Carthage, Tunis,,,,,
480 000 DT,vente,Immeuble INVEST,Carthage, Tunis,1,,,126,3
1 250 DT,location,Appartement s+1 alz3670,Les Berges Du Lac, Tunis,,,,,
,location,Appartement s+1 meublé,Les Berges Du Lac, Tunis,,,,,
2 700 DT,location,Appartement s+3 meublé,Les Berges Du Lac, Tunis,,,,,
1 000 DT,location,étage de villa s+3 au jardin de carthage ref mel0014,Jardin De Carthage, Tunis,,,,,
330 000 DT,vente,Un plein pied à Salambo,Carthage, Tunis,,,60,135,3
8 000 DT,location,Penthouse au lac2 ref MAL0220,La Marsa, Tunis,,,,,
530 000 DT,vente,Immeuble Tunis,Sidi El Béchir, Tunis,,,,148,
700 000 DT,vente,Magnifique duplex S+ 3 au Golden Tulip,Gammarth, Tunis,2,3,148,,2
170 000 DT,vente,Appart El Rakcha,Le Kram, Tunis,1,,,80,2
240 000 DT,vente,Très beaux cartier à yasmina Byrsa,Carthage, Tunis,2,,175,55,4
320 000 DT,vente,Devenir propriétaire d'un centre de beauté,Aïn Zaghouan, Tunis,,,,100,
2 500 DT,location,Etage de Villa Belisaire,Carthage, Tunis,2,,,220,5
78 000 DT,vente,Dar zmène,Centre Ville - Lafayette, Tunis,1,,75,75,3
2 700 DT,location,Appartement s+3 au lac2  ref: MAL0219,Les Berges Du Lac, Tunis,,,,,
1 500 DT,location,Appartement Meublé s+3 à sidi daoud ref: MAL0218,La Marsa, Tunis,,,,,
320 000 DT,vente,Duplexe Sidi Daoud,Sidi Daoud, Tunis,2,,,152,3
680 000 DT,vente,Terrain El badr,Sidi Daoud, Tunis,,,,400,
363 000 DT,vente,Jardin de sidi daoud,Sidi Daoud, Tunis,,,,242,
1 500 DT,location,S2 la Vita bella,Carthage, Tunis,1,,,80,2
220 000 DT,vente,Appart Elwafa,Sidi Daoud, Tunis,1,,90,120,2
680 000 DT,vente,Immeuble Invest,Aïn Zaghouan, Tunis,6+,,330,200,10+
1 500 DT,location,Commerce INVEST,Carthage, Tunis,,,90,50,
4 000 DT,location,Villa Enassim,La Marsa, Tunis,2,,400,400,4
3 500 DT,location,Duplex  S+ 2 meublé  au Golden Tulip,La Marsa, Tunis,2,4,148,,2
128 000 DT,vente,Appartement Neuf Chez Promoteur à Montfleury,Médina, Tunis,2,3,88,88,2
1 200 000 DT,vente,Luxueuse Villa THS Direct Particulier GAMMART,Gammarth, Tunis,,,,,
1 200 000 DT,vente,Luxueuse Villa THS Direct Particulier GAMMART,Gammarth, Tunis,4,8,330,287,7
1 500 DT,location,Appartement  la Terrasse,La Marsa, Tunis,1,,,164,3
600 000 DT,vente,IMMEUBLE INVEST,Le Kram, Tunis,3,,200,198,7
1 100 DT,location,S+3 jamais habité,Carthage, Tunis,1,,140,,3
2 300 DT,location,Bel appartement avec vue sur le lac,Les Berges Du Lac, Tunis,1,2,70,,1
235 000 DT,vente,Local commercial lcz261,Aïn Zaghouan, Tunis,,,,,
1 200 DT,location,Appartement s+2,La Marsa, Tunis,,,,,
1 110 000 DT,vente,Terrain Essanouber,La Marsa, Tunis,,,,444,
1 800 DT,location,S2 Kobet El Bhar,Carthage, Tunis,1,,120,120,2
2 000 DT,location,RDC VILLA AMILCAR,Carthage, Tunis,1,,135,350,3
800 000 DT,vente,Appartement S+3 au Golden Tulip,La Marsa, Tunis,2,4,140,,3
1 800 DT,location,RDC New Sidi Bou,Carthage, Tunis,1,,120,200,3
1 500 DT,location,Appartement s+2 semi meublé,L'aouina, Tunis,,,,,
5 000 DT,location,Villa Magon,Carthage, Tunis,4,,350,800,6
2 200 DT / Mois,location,Khayrat El Saba,Sidi Bou Said, Tunis,2,,90,,3
1 600 DT,location,Appartement s+4,Aïn Zaghouan, Tunis,,,,,
520 000 DT,vente,Duplexe Le RELAIS,La Marsa, Tunis,3,,185,180,3
,vente,"A vendre App Hadika 2, Tunis",Ettahrir, Tunis,1,3,100,,
2 500 DT,location,Appart Alaa Eddine,Carthage, Tunis,1,,90,90,3
1 500 DT / Mois,location,Duplexe El Zyara,Carthage, Tunis,3,2,150,150,4
7 000 000 DT,vente,Ksar El Bayet,Carthage, Tunis,3,2,570,1030,4
2 800 DT,location,Rez de chaussée s+2 avec jardin AU LAC ref: MAL0210,Les Berges Du Lac, Tunis,,,,,
18 000 DT,location,Villa à usage bureautique H+10 Ref MVL0112,La Marsa, Tunis,,,,,
2 000 DT,location,Appartement au lac 2 s+2 ref : MAL0209,La Marsa, Tunis,1,2,,,2
1 750 000 DT,vente,Villa Remada,Carthage, Tunis,4,,350,424,6
950 000 DT,vente,Villa Art de vivre,Sidi Daoud, Tunis,3,,390,200,4
330 000 DT,vente,Duplex,El Ouardia, Tunis,1,8,70,140,4
120 DT,vente,Vente de maion,Hraïria, Tunis,,,,,
1 500 DT,location,Appartement s+2 à la marsa alz 3655,La Marsa, Tunis,,,,,
2 700 DT,location,Appartement s+2 lac 2 alz3657,Les Berges Du Lac, Tunis,,,,,
693 000 DT,vente,Un appartement s+4 au jardin de carthage,Jardin De Carthage, Tunis,,,198,,
1 078 000 DT,vente,Terrain INVEST à Sidi Daoud 490 m2,Sidi Daoud, Tunis,,,,490,
,location,Un appartement meublé dans la goulette casinoo,La Goulette, Tunis,1,3,102,,2
1 227 000 DT,vente,"TERRAIN - SIDI DAOUD, LA MARSA, TUNIS",Sidi Daoud, Tunis,,,,818,
